Company Name,Legal Name,Parent Company Name,Address,City,ZIP Code,County,Phone Number Combined,Website,Linked-In,Facebook,Instagram,Executive First Name,Executive Last Name,Executive Title,Executive Gender,Executive Ethnicity,Veteran Exemption,Company Description,Column1,Primary NAICS,Primary NAICS Description,NAICS 2,NAICS 2 Description,NAICS 3,NAICS 3 Description,NAICS 4,NAICS 4 Description,Primary SIC Code,Primary SIC Description,Last Updated On,Years In Database
A Bankruptcy Law Firm LLC,A BANKRUPTCY LAW FIRM LLC,,1409 Washington Ave # 401,Saint Louis,63103,St Louis City,(314) 300-6700,Bensonlawfirms.Com,,https://www.facebook.com/abankruptcylawfirm,,Michael,Benson,Owner,Male,Western Europe,,,,54111002,Offices Of Lawyers,33151307,Steel Foundries (Except Investment),52399101,"Trust, Fiduciary, And Custody Activities",56161108,Investigation And Personal Background Check Servic,811103,Attorneys,202607,10
A Best Limo STL,,,9922 Halls Ferry Rd,Saint Louis,63136,St Louis,(314) 269-0021,,,https://www.facebook.com/people/a-best-limo-stl/100068399149725/,,,,,,Uncoded,,,,48532002,Limousine Service,,,,,,,411903,Limousine Service,202607,10
A Call To Conscience,,,1501 Locust St # 205,Saint Louis,63103,St Louis City,Not Available,Acalltoconscience.Org,,,,Linda J,Smith,Manager,Female,Western Europe,,,,71111001,Theater Companies And Dinner Theaters,81331908,Other Social Advocacy Organizations,99999005,Unclassified Establishments,,,792236,Theater Companies & Dinner Theaters,202305,4
A Caring Plus Foundation,,,6350 Garesche Ave,Saint Louis,63136,St Louis,(314) 930-2083,Acaringplusfoundation.Org,,,,,,,,Uncoded,,,,54172006,Research And Development In The Social Sciences An,62331206,Assisted Living Facilities For The Elderly,81331908,Other Social Advocacy Organizations,56159909,All Other Travel Arrangement And Reservation Servi,873303,Foundation-Educ Philanthropic Research,202605,11
A Class Delivery LLC,A CLASS DELIVERY LLC,,10352 Lord Dr,Saint Louis,63136,St Louis,Not Available,Ligalasamericas.Com,,,,,,,,Uncoded,,,,48411004,"General Freight Trucking, Local",99999005,Unclassified Establishments,,,,,421205,Delivery Service,202307,5
A Complete Lock & Key Svc,A COMPLETE LOCK & KEY SVC,,8320 Lackland Rd,Saint Louis,63114,St Louis,(314) 298-2824,A-Complete.Com,,,,Paul,Scoby,Owner,Male,Western Europe,,,,56162204,Locksmiths,45521919,All Other General Merchandise Retailers,56162203,Locksmiths,,,769962,Locks & Locksmiths,202607,29
A Direct DISH Satellite TV,,ECHOSTAR CORP,111 S 10th St,Saint Louis,63102,St Louis City,(314) 436-7274,Dish.Com,,,,,,,,Uncoded,,,,51612005,Television Broadcasting Stations,44921049,Electronics And Appliance Retailers,,,,,484101,Television-Cable & Catv,202304,17
A Fast Repair Co,,,9531 Echo Ln,Saint Louis,63114,St Louis,(314) 283-5158,,,,,Danny,Reynolds,Owner,Male,Western Europe,,,,23832003,Painting And Wall Covering Contractors,23816014,Roofing Contractors,22121002,Natural Gas Distribution,,,172101,Painters,202510,21
A Fresh Start Emergency Ntwrk,A FRESH START EMERGENCY NETWORK AGENCY AFEENA,,2006 Lucas And Hunt Rd,Saint Louis,63121,St Louis,(314) 884-8314,Afeenapetroleum.Com,,,,,,,,Uncoded,,,,42384095,Industrial Supplies Merchant Wholesalers,99999005,Unclassified Establishments,,,,,508599,Miscellaneous Industrial Supplies (Whls),202510,6
A Helping Handyman Svc,A HELPING HAND HANDYMAN SVC,,9956 Lewis And Clark Blvd,Saint Louis,63136,St Louis,(314) 528-6299,,,,,,,,,Uncoded,,,,23611815,Residential Remodelers,,,,,,,152115,Handyman Services,202206,10
A Kings Automotive,,,235 Chambers Rd,Saint Louis,63137,St Louis,(314) 868-9744,,,,,Doug,Gult,Owner,Male,Uncoded,,,,81111104,General Automotive Repair,,,,,,,753801,Automobile Repairing & Service,202410,28
A M Food LLC,MT FOOD LLC,,12087 Bellefontaine Rd,Saint Louis,63138,St Louis,(314) 438-8888,,,,,Tareq,Abde,Owner,Male,Middle Eastern,,,,31199906,All Other Miscellaneous Food Manufacturing,,,,,,,209903,Food Products & Manufacturers,202206,15
A Party Starters DJ Svc,,,,Saint Louis,63135,St Louis,(314) 565-9251,,,,,,,,,Uncoded,,,,71151004,"Independent Artists, Writers, And Performers",45521947,All Other General Merchandise Retailers,,,,,792908,Music & Live Entertainment,202206,17
A Perfect Touch Limo,,,610 E Red Bud Ave,Saint Louis,63147,St Louis City,(314) 731-5466,Aperfecttouchlimo.Com,,,,Jeff,Ellefson,Manager,Male,Scandinavian,,"A Perfect Touch Limousine Has Been Serving The St. Louis, St. Charles, St. Peters And O'Fallon Missouri Area Since 1992. We Have The Largest Selection Of Different Types And Sizes Of Limousines IN The St. Louis Area. We Offer Stretched Chrysler 300s, Escalades, Lincolns, Hummers And Luxury Coaches Ranging From 1-38 Passengers. Visit Our Web Site And See All Cars On-Line Inside And Out As Well As Pricing For All Vehicles.\x0d\x0a     We Are Dedicated IN Providing All-Around Customer Satisfaction, From The First Phone Call OR E-Mail To The Final Drop Off At The End Of The Job. We Strive To Provide You With Excellent Service. With This We Hope To Have You And Your Guests As Future Customers.\x0d\x0a",,48532002,Limousine Service,45521947,All Other General Merchandise Retailers,,,,,411903,Limousine Service,202605,32
A Plus Wiring Solutions,A+ WIRING SOLUTIONS LLC,,9240 Wabaday Ave,Overland,63114,St Louis,(314) 427-9473,,,,,Alan,Glen,Owner,Male,Western Europe,,,,56161208,Security Guards And Patrol Services,42361063,"Electrical Apparatus And Equipment, Wiring Supplie",,,,,738102,Security Guard & Patrol Service,202410,18
A Savvy Employment,,,7000 Natural Bridge Rd,Saint Louis,63121,St Louis,(314) 755-1110,Asavvyemploy.Com,,,,Yolanda,Allen,Owner,Female,African American,,,,56131102,Employment Placement Agencies,,,,,,,736103,Employment Agencies & Opportunities,202605,10
A Spoon Full Of Sugar,,,2800 Mcnair Ave,Saint Louis,63118,St Louis City,(314) 328-1048,Spoonful-Stl.Com,,https://facebook.com/270044209517818,,Elijah,Jabari,Owner,Male,Middle Eastern,,,,72251117,Full-Service Restaurants,,,,,,,581208,Restaurants,202603,3
A Step Beyond Inc,A STEP BEYOND INC,,8236 January Ave,Saint Louis,63134,St Louis,Not Available,,,,,,,,,Uncoded,,,,99999004,Unclassified Establishments,,,,,,,999977,Nonclassified Establishments,202007,8
A Super Taxi,,,2929 S Jefferson Ave,Saint Louis,63118,St Louis City,(314) 797-8228,Asupertaxi.Com,,https://www.facebook.com/asupertaxi,,Mehari,Tekle,Owner,Male,African American,,,,48531002,Taxi And Ridesharing Services,,,,,,,412101,Taxicabs & Transportation Service,202605,11
A To Z Landscaping,,,10560 Old Halls Ferry Rd,Saint Louis,63136,St Louis,(314) 867-4887,Missouri.Agricultural-Services.Org,,,,,,,,Uncoded,,,,56173009,Landscaping Services,,,,,,,78204,Landscape Contractors,202507,15
A VIP Limousine Svc,,,,Saint Louis,63101,St Louis City,(314) 576-5211,Stlouislimorentals.Com,,,,,,,,Uncoded,,,,48532002,Limousine Service,,,,,,,411903,Limousine Service,202207,14
A Way To Go Transportation,,,PO Box 26171,Saint Louis,63136,St Louis,(314) 922-6312,,,,,,,,,Uncoded,,,,48821008,Support Activities For Rail Transportation,,,,,,,478977,Transportation,202510,11
A Woman's Touch Remodeling LC,A WOMAN'S TOUCH REMODELING,,2460 Brown Rd,Saint Louis,63114,St Louis,(314) 229-4600,Awomanstouchremodeling.Net,,,,Ronda,Fohey,Owner,Female,Western Europe,,,,23834001,Tile And Terrazzo Contractors,23611823,Residential Remodelers,99999005,Unclassified Establishments,,,174304,Contractors-Tile,202605,16
A+ Rehab & Restoration,A+ REHAB & RESTORATION LC,,2728 Semple Ave,Saint Louis,63112,St Louis City,(636) 385-2093,Vaderair.Com,,,,Brittany,Turner,Owner,Female,Western Europe,,No Job To Big OR To Small,,23622006,Commercial And Institutional Building Construction,,,,,,,154101,Building Preservation,202510,12
A1 Caricatures,,,2434 Mcnair Ave,Saint Louis,63104,St Louis City,(314) 664-3981,A-1caricatures.Com,,https://www.facebook.com/pages/a1-caricatures-by-bill-michel/977217785683004,,William,Michel,Owner,Male,Western Europe,,,,81299057,All Other Personal Services,54143002,Graphic Design Services,54143019,Graphic Design Services,,,729989,Party Planning Service,202606,26
A1 Check Cashing Svc,,,6711 Olive Blvd,Saint Louis,63130,St Louis,(314) 862-6849,,,,,Zilly,Patel,Owner,Male,South Asian,,,,52232003,"Financial Transactions Processing, Reserve, And Cl",,,,,,,609903,Check Cashing Service,202603,35
A1 Liquor,,,10625 New Halls Ferry Rd,Saint Louis,63136,St Louis,(314) 867-3100,,,,,Dee,Patel,Owner,Male,South Asian,,,,44532004,"Beer, Wine, And Liquor Retailers",,,,,,,592102,Liquors-Retail,202403,18
A1 Liquor Outlet,,,3336 Pershall Rd,Ferguson,63135,St Louis,(314) 521-7272,,,,,,,,,Uncoded,,,,44532004,"Beer, Wine, And Liquor Retailers",52316007,Commodity Contracts Intermediation,,,,,592102,Liquors-Retail,202404,14
A1 Liquors,,,9361 Natural Bridge Rd,Berkeley,63134,St Louis,(314) 426-6995,A1wineandspirit.Com,,https://facebook.com/a1-liquors-fine-wines-248661385167114/,,Mitesh,Limbachia,Manager,Male,Mediterranean,,,,44532004,"Beer, Wine, And Liquor Retailers",,,,,,,592102,Liquors-Retail,202404,11
A1 Sign,,,4610 Planned Industrial Dr,Saint Louis,63120,St Louis City,(573) 368-3600,A1signco.Com,,https://www.facebook.com/a1signco,,Brian,Miller,Owner,Male,Western Europe,,,,33995008,Sign Manufacturing,33429006,Other Communications Equipment Manufacturing,33995009,Sign Manufacturing,,,399302,Signs (Mfrs),202606,22
A1 Tax Svc,,,1408 N Kingshwy Blvd # 223,Saint Louis,63113,St Louis City,(314) 341-2446,,,https://www.facebook.com/a1taxservice,,Candice,Belger,Owner,Female,Western Europe,,,,54121301,Tax Preparation Services,,,,,,,729101,Tax Return Preparation & Filing,202510,9
A1 Telephone Svc & Repair,,,2423 Hartland Ave,Saint Louis,63114,St Louis,(314) 429-1828,A1-Telephone.Com,,,,Dennis,Mcdonald,Owner,Male,Western Europe,,,,44921054,Electronics And Appliance Retailers,81121037,Electronic And Precision Equipment Repair And Main,81121036,Electronic And Precision Equipment Repair And Main,,,599904,Telephone Equipment & Supplies,202206,18
A1 U Store It-Spanish Lake,,,1301 Dunn Rd,Saint Louis,63138,St Louis,(314) 470-1787,A1ustoreit.Com,,,,Mike,Holthaus,Regional Mgr,Male,Western Europe,,"Are You Running Out Of Space IN Your Home OR Office? Let US Help. A1 U Store It Offers Affordable Self Storage Units For Rent IN St. Louis, Mo. We Provide You Clean And Reliable Storage Unit Rentals IN A Convenient Location. Whether You Need Personal, Business, OR Estate Storage, We Have A Solution That Will Meet Your Needs. Every Aspect Of A1 U Store It Is Designed For Your Convenience. Enjoy Flexible Lease Terms And A Variety Of Different Size Storage Units To Choose From.",,53113001,Lessors Of Miniwarehouses And Self-Storage Units,49313007,Farm Product Warehousing And Storage,49311008,General Warehousing And Storage,53113003,Lessors Of Miniwarehouses And Self-Storage Units,422503,Storage-Household & Commercial,202605,34
A-1 Wine & Liquor,,,6796 N Hanley Rd,Saint Louis,63134,St Louis,(314) 524-2222,Stlouiscountymo.Gov,,http://www.facebook.com/stlouiscoparks/timeline/?ref=ts,,,,,,Uncoded,,,,44532004,"Beer, Wine, And Liquor Retailers",,,,,,,592102,Liquors-Retail,202510,14
A7 Infrastructure LLC,A7 INFRASTRUCTURE LLC,,906 Olive St # 902,Saint Louis,63101,St Louis City,(314) 241-5805,,,,,,,,,Uncoded,,,,54135001,Building Inspection Services,54133003,Engineering Services,99999005,Unclassified Establishments,,,738919,Building Inspection Service,202607,14
AA Importing Co Inc,A A IMPORTING CO INC,AA IMPORTING CO INC,7700 Hall St,Saint Louis,63147,St Louis City,(314) 383-8800,Aaimporting.Com,,https://www.facebook.com/aaimporting,,Richard,Tallin,CEO,Male,Uncoded,,"Founded IN 1934 As A Distributor Of Kerosene Lamp Parts And Accessories By A.A. Gralnick, Aa Importing Company Imports Fine Crystal And Art Class, As Well As Fine Porcelain From Europe. IN Addition, The Company Designs And Manufactures A Wide Range Of Antique Reproductions. Aa Importing S Products Include Cast Iron Items, Memorabilia And Collectables, Small Accent Items, Figural Pieces, Decoys, Dolls, Toys Of All Types, Decorative Accent Pieces, Period-Specific Gramophones, Furniture, Decorative Glass Items, Lamps, Decorative Porcelain Pieces, And A Wide Array Of Resin-Based Sculptures And Accent Pieces. The Company Also Custom Designs And Produces Exclusive Designs For Their Customers, Mass Merchants And Retail And Discount Stores. Aa Importing Company Has Branch Locations IN South San Francisco, Calif., And Edison, N.J., And Maintains Its Corporate Headquarters IN St. Louis.",,45951002,Used Merchandise Retailers,42399019,Other Miscellaneous Durable Goods Merchant Wholesa,42499050,Other Miscellaneous Nondurable Goods Merchant Whol,44912951,All Other Home Furnishings Retailers,593209,Antiques-Reproductions,202510,43
AAA Building Material Co,AAA BUILDING MATERIALS,,5381 Dr Martin Luther King Dr,Saint Louis,63112,St Louis City,(314) 361-2710,,,https://facebook.com/p/aaa-materials-inc-100063898637124/,,Edward,Harris,Owner,Male,Western Europe,,,,44411001,Home Centers,,,,,,,521126,Building Materials,202602,43
AAA Building Materials,AAA MATERIAL INC,,715 Chambers Rd,Saint Louis,63137,St Louis,(314) 867-8668,Rockmestl.Com,,https://www.facebook.com/pages/category/masonry-contractor/aaa-materials-inc-161071227247761,,Frank,Evans,Owner,Male,Western Europe,,,,56173009,Landscaping Services,21231102,Dimension Stone Mining And Quarrying,23891006,Site Preparation Contractors,23799011,Other Heavy And Civil Engineering Construction,78204,Landscape Contractors,202501,43
AAA Fish House,,,5916 Delmar Blvd,Saint Louis,63112,St Louis City,(314) 385-3811,,,https://www.facebook.com/pages/aaa-fish-house/199965273350207,,Al,Carson,Owner,Male,Western Europe,,,,72251117,Full-Service Restaurants,,,,,,,581208,Restaurants,202510,24
AAA Home Medical Equipment LLC,AAA HOME MEDICAL EQUIPMENT LLC,,3223 Woodson Rd,Saint Louis,63114,St Louis,(314) 427-9700,Aaahomemedical.Com,,,,Gary L,Morgan,Owner,Male,Western Europe,,,,42345028,"Medical, Dental, And Hospital Equipment And Suppli",45521946,All Other General Merchandise Retailers,53228912,All Other Consumer Goods Rental,81121055,Electronic And Precision Equipment Repair And Main,504704,Physicians & Surgeons Equip & Supls-Whls,202510,25
AAA Metal Fabricators,,,3030 Gravois Ave,Saint Louis,63118,St Louis City,(314) 664-2228,Aaametalfabricators.Com,,,,Erik,Simmons,Mfg Exec,Male,Western Europe,,,,23891054,Site Preparation Contractors,,,,,,,179104,Metal Fabricators,202606,26
AAA Radon N Svc,AAA RADON SVC INC,,8836 Huiskamp Ave,Saint Louis,63136,St Louis,(314) 892-7140,AAA-Radon.Com,,https://www.facebook.com/aaaradon,,Kris,Garrison,Owner,Female,Western Europe,,,,54138033,Testing Laboratories And Services,,,,,,,873419,Radon Testing & Correction,202601,16
AAB Publications,,,906 Olive St # 1200,Saint Louis,63101,St Louis City,(314) 241-1445,Aab.Org,,http://www.facebook.com/aab.mt,,Mark,Birenbaum,Administrator,Male,Not Available,,,,81232002,Drycleaning And Laundry Services (Except Coin-Oper,56111003,Office Administrative Services,,,,,721201,Cleaners,202602,43
A-Able Co,,,7151 N Market St,Saint Louis,63133,St Louis,(314) 863-8874,,,,,,,,,Uncoded,,,,99999004,Unclassified Establishments,,,,,,,999977,Nonclassified Establishments,202503,22
A-Affordable Glass Co,,,2312 Shields Ave,Saint Louis,63136,St Louis,(314) 388-3558,Marshallfamilycounseling.Com,,,,Chris,Nelke,Owner,Male,Western Europe,,,,44418074,Other Building Material Dealers,23835011,Finish Carpentry Contractors,23815006,Glass And Glazing Contractors,44418066,Other Building Material Dealers,523121,Glass-Residential,202602,15
Aalcan Moving,AALCAN MOVING & STORAGE CO,,3688 S Broadway,Saint Louis,63118,St Louis City,(314) 776-2169,,,,,Michael,Winkler,Owner,Male,Western Europe,,,,48411009,"General Freight Trucking, Local",,,,,,,421401,Movers,202504,36
A-All Lock & Key Co Inc,A-ALL LOCK & KEY CO INC,,1942 Saint Louis Ave,Saint Louis,63106,St Louis City,(314) 241-4144,Alllockandkeyco.Net,,,,,,,,Uncoded,,,,56162204,Locksmiths,44418017,Other Building Material Dealers,81149011,Other Personal And Household Goods Repair And Main,,,769962,Locks & Locksmiths,202407,21
AAMCO,,ICAHN ENTERPRISES LP,11323 Midland Blvd,Saint Louis,63114,St Louis,(314) 396-2671,Aamco-Marylandhts-Westport.Com,,http://www.facebook.com/aamco,,Tim,Montileone,Site Manager,Male,Mediterranean,,"We Are The Experts IN Transmission Repair And Complete Car Care - Clutches, Brakes, Factory Scheduled Maintenance, Electrical, Check Engine Lights, Radiators, Overheating Problems, A/C And More.",,81111404,Specialized Automotive Repair,81112102,"Automotive Body, Paint, And Interior Repair And Ma",81111405,Specialized Automotive Repair,81111406,Specialized Automotive Repair,753701,Transmissions-Automobile,202606,41
Aardvark Drilling & Excavation,,,11001 Dunklin Dr # 38039,Saint Louis,63138,St Louis,(314) 664-7057,,,,,,,,,Uncoded,,,,23711002,Water And Sewer Line And Related Structures Constr,33995008,Sign Manufacturing,,,,,178102,Drilling & Boring Contractors,202510,23
Aardvark Research Group,,,11001 Dunklin Dr # 38814,Saint Louis,63138,St Louis,(314) 488-7923,Aardvarkresearchgroup.Com,,,,Jason,Martinez,General Mgr,Male,Hispanic,,,,54191003,Marketing Research And Public Opinion Polling,,,,,,,873206,Research Service,202606,3
Aardvark USA Lic,,,325 Paul Ave # 51,Ferguson,63135,St Louis,(314) 524-6045,Sportsteam.Com,,,,Lynn,Cates,Owner,Female,Western Europe,,Team Sports Apparel And Promotional Products.,,54189006,Other Services Related To Advertising,32311301,Commercial Screen Printing,42435020,Clothing And Clothing Accessories Merchant Wholesa,,,731919,Advertising-Promotional,202606,40
Aaron's,,IQVENTURES HOLDINGS LLC,10740 West Florissant Ave,Saint Louis,63136,St Louis,(314) 521-4050,Locations.Aarons.Com,,http://www.facebook.com/aaronsinc,,Shakita,Whittier,Manager,Female,Western Europe,,"Visit Our Aaron's Rent To Own Store Located At 10740 W Florissant Ave , St. Louis, MO, To Shop The Latest Deals On Name Brand Lease-To-Own Furniture, Electronics, Appliances, And More.",,53228921,All Other Consumer Goods Rental,33522012,Major Household Appliance Manufacturing,45511003,Department Stores,44911012,Furniture Retailers,735930,Furniture-Renting & Leasing,202607,24
ABC & Checker Cab LLC,ABC & CHECKER CAB LLC,,1351 Pennsylvania Ave,Saint Louis,63133,St Louis,(314) 725-2111,,,,,,,,,Uncoded,,,,48531002,Taxi And Ridesharing Services,,,,,,,412101,Taxicabs & Transportation Service,202408,9
